PeakID (cmd=C57_H.p_peaks.bed mm9)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_10206	chr5	77737644	77740441	+	3100.00	NA	promoter-TSS (NM_019836)	promoter-TSS (NM_019836)	69	NM_019836	56412	Mm.129136	NM_019836	ENSMUSG00000036285	Noa1	2610024G14Rik|AU022345|AtNOS1|mAtNOS1	nitric oxide associated 1	protein-coding
MACS_peak_9140	chr4	56876787	56878401	+	3100.00	NA	intron (NM_018761, intron 1 of 18)	CpG	489	NM_018761	54366	Mm.218891	NM_018761	ENSMUSG00000038816	Ctnnal1	ACRP|AI616177|AW545119|C86009|Catnal1	catenin (cadherin associated protein), alpha-like 1	protein-coding
MACS_peak_5100	chr16	18875938	18878735	+	3100.00	NA	promoter-TSS (NM_010922)	promoter-TSS (NM_010922)	493	NM_010435	15260	Mm.453041	NM_001005228	ENSMUSG00000022702	Hira	AA138857|D16Ertd95e|N28177|Tuple1	histone cell cycle regulation defective homolog A (S. cerevisiae)	protein-coding
MACS_peak_4851	chr15	94418972	94420697	+	3100.00	NA	intron (NM_008971, intron 1 of 8)	CpG	421	NM_008971	19230	Mm.490250	NM_008971	ENSMUSG00000022451	Twf1	A6|Ptk9|twinfilin	twinfilin, actin-binding protein, homolog 1 (Drosophila)	protein-coding
MACS_peak_11736	chr7	28964108	28966073	+	3100.00	NA	promoter-TSS (NM_001271370)	promoter-TSS (NM_001271370)	-245	NM_001271370	13549	Mm.57249	NM_001037957	ENSMUSG00000002409	Dyrk1b	Mirk	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b	protein-coding
MACS_peak_6193	chr18	23961835	23964307	+	3100.00	NA	intron (NM_153058, intron 1 of 6)	intron (NM_153058, intron 1 of 6)	600	NM_153058	212307	Mm.132237	NM_001162941	ENSMUSG00000024277	Mapre2	AI314113|C820009F03Rik|D18Abb1e|EB1|EB2|RP1	microtubule-associated protein, RP/EB family, member 2	protein-coding
MACS_peak_9336	chr4	109147310	109149922	+	3100.00	NA	intron (NM_013876, intron 1 of 2)	intron (NM_013876, intron 1 of 2)	494	NM_013876	29864	Mm.456388	NM_013876	ENSMUSG00000028557	Rnf11	-	ring finger protein 11	protein-coding
MACS_peak_2738	chr12	4232698	4234964	+	3100.00	NA	promoter-TSS (NM_001204912)	promoter-TSS (NM_001204912)	-196	NM_001204912	69709	Mm.250552	NM_001204912	ENSMUSG00000096199	Ptrhd1	2410017P09Rik	peptidyl-tRNA hydrolase domain containing 1	protein-coding
MACS_peak_770	chr1	184445952	184448429	+	3100.00	NA	intron (NM_009794, intron 1 of 20)	CpG	424	NM_009794	12334	Mm.19306	NM_009794	ENSMUSG00000026509	Capn2	AI326419|Capa-2|Capa2|m-calpain|m-calpin	calpain 2	protein-coding
MACS_peak_4858	chr15	96525322	96531168	+	3100.00	NA	intron (NM_175121, intron 4 of 15)	intron (NM_175121, intron 4 of 15)	1884	NM_175121	67760	Mm.46754	NM_175121	ENSMUSG00000022462	Slc38a2	5033402L14Rik|AI316867|ATA2|SAT2|mKIAA1382	solute carrier family 38, member 2	protein-coding
MACS_peak_11394	chr6	126797946	126799994	+	3100.00	NA	intron (NM_025358, intron 1 of 10)	intron (NM_025358, intron 1 of 10)	192	NM_025358	66108	Mm.29939	NM_025358	ENSMUSG00000000399	Ndufa9	1010001N11Rik	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9	protein-coding
MACS_peak_12111	chr7	97088578	97090484	+	3100.00	NA	5' UTR (NM_026304, exon 1 of 5)	5' UTR (NM_026304, exon 1 of 5)	164	NM_026304	67669	Mm.28679	NM_026304	ENSMUSG00000062797	l7Rn6	0610007P06Rik|1110002N09Rik|l(7)6Rn	lethal, Chr 7, Rinchik 6	protein-coding
MACS_peak_8613	chr3	96708110	96710068	+	3100.00	NA	intron (NM_026229, intron 1 of 13)	CpG	132	NM_026229	67549	Mm.46722	NM_026229	ENSMUSG00000028096	Gpr89	4933412D19Rik|Gpr89a|SH120	G protein-coupled receptor 89	protein-coding
MACS_peak_13627	chr9	64019824	64022580	+	3100.00	NA	promoter-TSS (NM_026507)	promoter-TSS (NM_026507)	8	NM_024212	67891	Mm.280083	NM_024212	ENSMUSG00000032399	Rpl4	2010004J23Rik	ribosomal protein L4	protein-coding
MACS_peak_11248	chr6	101325834	101328690	+	3100.00	NA	exon (NM_018884, exon 1 of 10)	exon (NM_018884, exon 1 of 10)	629	NM_018884	55983	Mm.321654	NM_018884	ENSMUSG00000035357	Pdzrn3	1110020C07Rik|AI429718|AL023082|LNX3|SEMACAP3|Semcap3	PDZ domain containing RING finger 3	protein-coding
MACS_peak_10658	chr5	139059473	139061377	+	3100.00	NA	intron (NM_001044747, intron 1 of 4)	intron (NM_001044747, intron 1 of 4)	546	NM_013844	24135	Mm.27575	NM_001044747	ENSMUSG00000058291	Zfp68	KRAB3|KRAZ2|Zfp70|mszf22|mszf49	zinc finger protein 68	protein-coding
MACS_peak_8475	chr3	88488642	88491854	+	3100.00	NA	intron (NM_028814, intron 1 of 13)	CpG	532	NM_028814	74200	Mm.251800	NM_028814	ENSMUSG00000028060	2810403A07Rik	A430106P18Rik|AI256352|AI451678|Blom7|Kiaa0907	RIKEN cDNA 2810403A07 gene	protein-coding
MACS_peak_9004	chr4	33396666	33398459	+	3100.00	NA	intron (NM_011884, intron 1 of 15)	CpG-9798	276	NM_011884	24018	Mm.464346	NM_011884	ENSMUSG00000028274	Rngtt	AU020997	RNA guanylyltransferase and 5'-phosphatase	protein-coding
MACS_peak_6105	chr17	88839242	88842009	+	3100.00	NA	intron (NM_180974, intron 1 of 5)	CpG	573	NM_180974	14236	Mm.393597	NM_180974	ENSMUSG00000034998	Foxn2	3230402J05Rik|6030465J18Rik|Fkh19|Foxn1|HTLF	forkhead box N2	protein-coding
MACS_peak_3689	chr13	74486159	74488826	+	3100.00	NA	promoter-TSS (NM_001168659)	promoter-TSS (NM_001168659)	196	NM_023281	66945	Mm.158231	NM_023281	ENSMUSG00000021577	Sdha	1500032O14Rik|2310034D06Rik|4921513A11|C81073|FP|SDH2|SDHF	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	protein-coding
MACS_peak_7609	chr2	112105146	112108608	+	3100.00	NA	5' UTR (NM_133649, exon 1 of 25)	5' UTR (NM_133649, exon 1 of 25)	406	NM_133649	107723	Mm.46449	NM_133648	ENSMUSG00000027130	Slc12a6	9530023I19Rik|KCC3|gaxp	solute carrier family 12, member 6	protein-coding
MACS_peak_11646	chr7	20042371	20044934	+	3100.00	NA	intron (NM_172279, intron 1 of 16)	CpG	191	NM_172279	232944	Mm.260504	NM_172279	ENSMUSG00000030397	Mark4	2410090P21Rik|C79806|Markl1	MAP/microtubule affinity-regulating kinase 4	protein-coding
MACS_peak_3903	chr14	12384146	12389629	+	3100.00	NA	intron (NM_008981, intron 1 of 29)	CpG-4267	820	NM_008981	19270	Mm.431266	NM_008981	ENSMUSG00000021745	Ptprg	5430405N12Rik|AW046354|AW549872|RPTPgamma	protein tyrosine phosphatase, receptor type, G	protein-coding
MACS_peak_7639	chr2	118373757	118376390	+	3100.00	NA	intron (NM_138313, intron 1 of 4)	intron (NM_138313, intron 1 of 4)	341	NM_138313	171543	Mm.210125	NM_138313	ENSMUSG00000040093	Bmf	AW260063|AW411872	BCL2 modifying factor	protein-coding
MACS_peak_4122	chr14	55304066	55306853	+	3100.00	NA	exon (NM_023190, exon 1 of 19)	exon (NM_023190, exon 1 of 19)	309	NM_001085473	56215	Mm.297078	NM_001085472	ENSMUSG00000022185	Acin1	2610036I19Rik|2610510L13Rik|Acinus|Acn|C79325|acinusL|acinusS|mKIAA0670	apoptotic chromatin condensation inducer 1	protein-coding
MACS_peak_6472	chr18	74937288	74941539	+	3100.00	NA	intron (NM_177470, intron 1 of 9)	intron (NM_177470, intron 1 of 9)	547	NM_177470	52538	Mm.245724	NM_177470	ENSMUSG00000036880	Acaa2	0610011L04Rik|AI255831|AI265397|D18Ertd240e	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	protein-coding
MACS_peak_600	chr1	161161381	161164160	+	3100.00	NA	exon (NM_011931, exon 1 of 20)	exon (NM_011931, exon 1 of 20)	313	NM_011931	26374	Mm.328135	NM_011931	ENSMUSG00000040782	Rfwd2	AI316802|C80879|Cop1	ring finger and WD repeat domain 2	protein-coding
MACS_peak_3898	chr14	9003956	9006501	+	3100.00	NA	intron (NM_024221, intron 2 of 9)	CpG	278	NM_024221	68263	Mm.301527	NM_024221	ENSMUSG00000021748	Pdhb	2610103L06Rik|AL024199|C81408	pyruvate dehydrogenase (lipoamide) beta	protein-coding
MACS_peak_5355	chr16	87439844	87441818	+	3100.00	NA	promoter-TSS (NM_016924)	promoter-TSS (NM_016924)	6	NM_016924	53858	Mm.162406	NM_016924	ENSMUSG00000041079	Rwdd2b	ORF5	RWD domain containing 2B	protein-coding
MACS_peak_5861	chr17	44913294	44915307	+	3100.00	NA	5' UTR (NM_178652, exon 1 of 12)	5' UTR (NM_178652, exon 1 of 12)	180	NM_178652	109115	Mm.431327	NM_178652	ENSMUSG00000038954	Supt3h	2310066G22Rik|AI315192|SPT3|SPT3L	suppressor of Ty 3 homolog (S. cerevisiae)	protein-coding
MACS_peak_855	chr10	6976571	6980992	+	3100.00	NA	intron (NM_133485, intron 1 of 3)	intron (NM_133485, intron 1 of 3)	1610	NM_133485	76142	Mm.308126	NM_133485	ENSMUSG00000040653	Ppp1r14c	6330514J04Rik|KEPI	protein phosphatase 1, regulatory (inhibitor) subunit 14c	protein-coding
MACS_peak_4822	chr15	89144294	89146542	+	3100.00	NA	intron (NM_001081030, intron 1 of 39)	CpG	324	NM_001081030	77980	Mm.35483	NM_030019	ENSMUSG00000036529	Sbf1	2610510A08Rik|B230113C15Rik|Mtmr5|mKIAA3020	SET binding factor 1	protein-coding
MACS_peak_2449	chr11	100979652	100982265	+	3100.00	NA	promoter-TSS (NM_134024)	promoter-TSS (NM_134024)	180	NM_026501	67998	Mm.33881	NM_026501	ENSMUSG00000017802	Fam134c	1300010M03Rik|4933404C01Rik|AI551748	family with sequence similarity 134, member C	protein-coding
MACS_peak_4564	chr15	57964948	57967490	+	3100.00	NA	intron (NM_027435, intron 1 of 27)	CpG	418	NM_027435	70472	Mm.221758	NM_153199	ENSMUSG00000022360	Atad2	2610509G12Rik	ATPase family, AAA domain containing 2	protein-coding
MACS_peak_775	chr1	186552122	186557823	+	3100.00	NA	intron (NM_008250, intron 1 of 3)	intron (NM_008250, intron 1 of 3)	1400	NM_008250	15284	Mm.1347	NM_008250	ENSMUSG00000039377	Hlx	Hlx1	H2.0-like homeobox	protein-coding
MACS_peak_168	chr1	54250358	54252594	+	3100.00	NA	intron (NM_001001883, intron 1 of 28)	CpG	402	NM_001001883	329152	Mm.447527	NM_001001883	ENSMUSG00000042807	Hecw2	A730039N16Rik|D030049F17Rik|Gm971|Nedl2|mKIAA1301	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2	protein-coding
MACS_peak_2678	chr11	119463583	119466178	+	3100.00	NA	5' UTR (NM_028898, exon 1 of 34)	5' UTR (NM_028898, exon 1 of 34)	571	NM_028898	74370	Mm.209933	NM_028898	ENSMUSG00000025583	Rptor	4932417H02Rik|Rap|Raptor|mKIAA1303	regulatory associated protein of MTOR, complex 1	protein-coding
MACS_peak_12996	chr8	92869292	92873024	+	3100.00	NA	intron (NM_172913, intron 1 of 6)	intron (NM_172913, intron 1 of 6)	993	NM_172913	244579	Mm.302755	NM_172913	ENSMUSG00000043668	Tox3	500-9|BC052044|C230068E13|CAGF9|Tnrc9	TOX high mobility group box family member 3	protein-coding
MACS_peak_1672	chr11	17852585	17854318	+	3100.00	NA	intron (NM_026576, intron 1 of 5)	CpG	427	NM_026576	68145	Mm.178684	NM_026576	ENSMUSG00000016984	Etaa1	5730466H23Rik|AA672646	Ewing's tumor-associated antigen 1	protein-coding
MACS_peak_2558	chr11	107049222	107051043	+	3100.00	NA	intron (NM_133702, intron 1 of 17)	intron (NM_133702, intron 1 of 17)	563	NM_133702	68979	Mm.294617	NM_001161329	ENSMUSG00000018433	Nol11	1500002M01Rik|AU015220|AU019874	nucleolar protein 11	protein-coding
MACS_peak_6123	chr18	4919746	4922670	+	3100.00	NA	Intergenic	Intergenic	108724	NR_045881	100038439	Mm.387569	NR_045881		Gm10556	ENSMUSG00000073646	predicted gene 10556	miscRNA
MACS_peak_2966	chr12	72236327	72239871	+	3100.00	NA	promoter-TSS (NM_013896)	promoter-TSS (NM_013896)	264	NM_001163378	76967	Mm.87290	NM_001163378	ENSMUSG00000034601	2700049A03Rik	Talpid3|mKIAA0586	RIKEN cDNA 2700049A03 gene	protein-coding
MACS_peak_13239	chr8	126754608	126756916	+	3100.00	NA	intron (NM_139272, intron 1 of 15)	CpG-14657	468	NM_139272	108148	Mm.33808	NM_139272	ENSMUSG00000089704	Galnt2	AI480629	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2	protein-coding
MACS_peak_9486	chr4	125877419	125880319	+	3100.00	NA	intron (NM_146153, intron 1 of 10)	intron (NM_146153, intron 1 of 10)	1085	NM_146153	230753	Mm.236211	NM_146153	ENSMUSG00000043962	Thrap3	9330151F09Rik|B230333E16Rik|Trap150	thyroid hormone receptor associated protein 3	protein-coding
MACS_peak_1059	chr10	57717190	57719524	+	3100.00	NA	promoter-TSS (NM_027375)	promoter-TSS (NM_027375)	83	NM_027375	70297	Mm.25531	NM_027375	ENSMUSG00000038039	Gcc2	0610043A03Rik|2210420P05Rik|2600014C01Rik|AW112121|mKIAA0336	GRIP and coiled-coil domain containing 2	protein-coding
MACS_peak_13850	chr9	100977112	100982572	+	3100.00	NA	intron (NM_001100451, intron 1 of 1)	PB1D10|SINE|Alu	1391	NM_001100451	77853	Mm.478345	NM_001100451		Msl2	E130103E02Rik|Msl2l1|Rnf184	male-specific lethal 2 homolog (Drosophila)	protein-coding
MACS_peak_2200	chr11	79893078	79895139	+	3100.00	NA	intron (NM_018776, intron 1 of 7)	intron (NM_018776, intron 1 of 7)	349	NM_018776	54394	Mm.272093	NM_018776	ENSMUSG00000017561	Crlf3	BB164954|Creme9|Crlf2|Cytor4	cytokine receptor-like factor 3	protein-coding
MACS_peak_6484	chr18	76400112	76402941	+	3100.00	NA	5' UTR (NM_010754, exon 1 of 11)	5' UTR (NM_010754, exon 1 of 11)	171	NM_010754	17126	Mm.490934	NM_001252481	ENSMUSG00000024563	Smad2	7120426M23Rik|Madh2|Madr2|Smad-2|mMad2	SMAD family member 2	protein-coding
MACS_peak_10295	chr5	104475079	104477314	+	3100.00	NA	intron (NM_028794, intron 1 of 7)	CpG	166	NM_028794	74167	Mm.241484	NM_028794	ENSMUSG00000029310	Nudt9	1190002C07Rik|AI462474	nudix (nucleoside diphosphate linked moiety X)-type motif 9	protein-coding
MACS_peak_8039	chr2	165817563	165819651	+	3100.00	NA	intron (NM_008679, intron 1 of 22)	CpG	470	NM_008679	17979	Mm.469663	NM_008679	ENSMUSG00000027678	Ncoa3	2010305B15Rik|AW321064|Actr|Aib1|KAT13B|Rac3|Src3|Tram-1|Tram1|bHLHe42|p/Cip|pCip	nuclear receptor coactivator 3	protein-coding
MACS_peak_10640	chr5	138186430	138190652	+	3100.00	NA	exon (NM_029805, exon 2 of 6)	exon (NM_029805, exon 2 of 6)	1344	NM_023910	78829	Mm.490451	NM_023910	ENSMUSG00000029723	Tsc22d4	0610009M14Rik|1700023B23Rik|AI415410|Thg-1pit|Tilz2	TSC22 domain family, member 4	protein-coding
MACS_peak_2263	chr11	86496332	86498791	+	3100.00	NA	promoter-TSS (NM_029478)	promoter-TSS (NM_029478)	-22	NM_001098810	217057	Mm.24868	NM_001098810	ENSMUSG00000072582	Ptrh2	A230072I16Rik|Bit1|CGI-147	peptidyl-tRNA hydrolase 2	protein-coding
MACS_peak_13114	chr8	109619036	109621104	+	3100.00	NA	exon (NM_009353, exon 1 of 10)	exon (NM_009353, exon 1 of 10)	375	NM_001083118	21750	Mm.6402	NM_001083118	ENSMUSG00000031921	Terf2	TRF2	telomeric repeat binding factor 2	protein-coding
MACS_peak_4165	chr14	57286156	57288756	+	3100.00	NA	intron (NM_023773, intron 1 of 13)	CpG-4519	371	NM_023773	75339	Mm.152466	NM_023773	ENSMUSG00000079184	Mphosph8	1500035L22Rik|4930548G07Rik|AU040635	M-phase phosphoprotein 8	protein-coding
MACS_peak_13754	chr9	79605879	79608637	+	3100.00	NA	intron (NM_009945, intron 1 of 3)	intron (NM_009945, intron 1 of 3)	402	NM_009945	12866	Mm.152627	NM_009945	ENSMUSG00000032330	Cox7a2	COX7AL|Cox7a3|CoxVIIa-L	cytochrome c oxidase, subunit VIIa 2	protein-coding
MACS_peak_10450	chr5	120284443	120289795	+	3100.00	NA	intron (NM_011537, intron 2 of 8)	intron (NM_011537, intron 2 of 8)	2447	NM_011537	21388	Mm.103636	NM_011537	ENSMUSG00000018263	Tbx5	-	T-box 5	protein-coding
MACS_peak_12550	chr8	11475988	11480076	+	3100.00	NA	intron (NM_011227, intron 1 of 1)	MIRc|SINE|MIR	467	NM_011227	19332	Mm.390014	NM_011227	ENSMUSG00000031504	Rab20	AA536966|D8Ertd350e	RAB20, member RAS oncogene family	protein-coding
MACS_peak_10627	chr5	137747261	137749608	+	3100.00	NA	intron (NM_001109909, intron 1 of 19)	CpG-11668	468	NM_031405	83701	Mm.387734	NM_001109909	ENSMUSG00000037364	Srrt	2810019G02Rik|ASR2A|ASR2B|ASR2C|ASR2D|Ars2|Asr2	serrate RNA effector molecule homolog (Arabidopsis)	protein-coding
MACS_peak_4688	chr15	78672578	78676220	+	3100.00	NA	intron (NM_027219, intron 1 of 2)	intron (NM_027219, intron 1 of 2)	1322	NM_027219	104445	Mm.307488	NM_027219	ENSMUSG00000049521	Cdc42ep1	1810058K22Rik|AA980734|Borg5|CEP1|MSE55	CDC42 effector protein (Rho GTPase binding) 1	protein-coding
MACS_peak_1624	chr11	5420205	5422514	+	3100.00	NA	intron (NM_013842, intron 1 of 4)	CpG	389	NM_013842	22433	Mm.469937	NM_013842	ENSMUSG00000020484	Xbp1	D11Ertd39e|TREB-5|TREB5|XBP-1	X-box binding protein 1	protein-coding
MACS_peak_3035	chr12	82632571	82634346	+	3100.00	NA	intron (NM_025292, intron 1 of 3)	CpG	436	NM_025292	24071	Mm.279603	NM_025292	ENSMUSG00000090935	Synj2bp	AA409442|ARIP2|ARIP2a|ActRIP4|D12Wsu118e|OMP25	synaptojanin 2 binding protein	protein-coding
MACS_peak_5786	chr17	35034503	35037631	+	3100.00	NA	exon (NM_145830, exon 1 of 27)	exon (NM_145830, exon 1 of 27)	148	NM_145830	110147	Mm.35345	NM_145830	ENSMUSG00000013787	Ehmt2	Bat8|D17Ertd710e|G9a|KMT1C|NG36	euchromatic histone lysine N-methyltransferase 2	protein-coding
MACS_peak_6793	chr19	31156517	31158672	+	3100.00	NA	exon (NM_031249, exon 1 of 1)	exon (NM_031249, exon 1 of 1)	263	NM_031249	83410	Mm.490369	NM_031249	ENSMUSG00000053536	Cstf2t	64kDa|C77975|tCstF-64|tauCstF-64	cleavage stimulation factor, 3' pre-RNA subunit 2, tau	protein-coding
MACS_peak_8066	chr2	168029992	168033365	+	3100.00	NA	intron (NM_009628, intron 1 of 3)	intron (NM_009628, intron 1 of 3)	884	NM_009628	11538	Mm.201322	NM_009628	ENSMUSG00000051149	Adnp	AA589558|mKIAA0784	activity-dependent neuroprotective protein	protein-coding
MACS_peak_11481	chr6	146672844	146675077	+	3100.00	NA	intron (NM_172734, intron 1 of 13)	CpG	508	NM_172734	232533	Mm.322121	NM_172734	ENSMUSG00000001630	Stk38l	4930473A22Rik|B230328I19|Ndr2|Ndr54	serine/threonine kinase 38 like	protein-coding
MACS_peak_5489	chr17	15096963	15099394	+	3100.00	NA	promoter-TSS (NM_024250)	promoter-TSS (NM_024250)	59	NM_024250	72057	Mm.440085	NM_024250	ENSMUSG00000023883	Phf10	1810055P05Rik|AV024533	PHD finger protein 10	protein-coding
MACS_peak_13965	chr9	110377887	110380113	+	3100.00	NA	promoter-TSS (NM_010628)	promoter-TSS (NM_010628)	198	NM_177771	270201	Mm.41744	NM_177771	ENSMUSG00000054792	Klhl18	A930041K15|AW545966	kelch-like 18 (Drosophila)	protein-coding
MACS_peak_5256	chr16	44137927	44141813	+	3100.00	NA	promoter-TSS (NM_007508)	promoter-TSS (NM_007508)	-52	NM_028108	72117	Mm.278726	NM_028108	ENSMUSG00000022698	Naa50	2600005K24Rik|2810441M03Rik|AW112078|Mak3|Mak3p|Nat13|Nat5|San	N(alpha)-acetyltransferase 50, NatE catalytic subunit	protein-coding
MACS_peak_8650	chr3	102975265	102976798	+	3100.00	NA	intron (NM_026602, intron 2 of 6)	intron (NM_026602, intron 2 of 6)	397	NM_026602	68183	Mm.104919	NM_026602	ENSMUSG00000005687	Bcas2	6430539P16Rik|AI132645|C76366|C80030	breast carcinoma amplified sequence 2	protein-coding
MACS_peak_7993	chr2	160697095	160699571	+	3100.00	NA	intron (NM_177263, intron 1 of 3)	CpG	393	NM_177263	320799	Mm.489808	NM_177263	ENSMUSG00000035877	Zhx3	1810059C13Rik|4932418O04Rik|9530010N21Rik|Tix1|mKIAA0395	zinc fingers and homeoboxes 3	protein-coding
MACS_peak_3922	chr14	19101820	19104588	+	3100.00	NA	promoter-TSS (NM_023526)	promoter-TSS (NM_023526)	296	NM_025586	66480	Mm.387909	NM_025586	ENSMUSG00000012405	Rpl15	2510008H07Rik	ribosomal protein L15	protein-coding
MACS_peak_625	chr1	165923866	165925864	+	3100.00	NA	promoter-TSS (NM_027279)	promoter-TSS (NM_027279)	47	NM_201364	381306	Mm.28152	NM_201364	ENSMUSG00000041406	BC055324	-	cDNA sequence BC055324	protein-coding
MACS_peak_12313	chr7	130266617	130269670	+	3100.00	NA	intron (NM_144925, intron 1 of 23)	(TTTTTG)n|Simple_repeat|Simple_repeat	744	NM_144925	233833	Mm.102305	NM_144925	ENSMUSG00000052707	Tnrc6a	2010321I05Rik|3110054G10Rik|AW557223|CAGH26|D130023A07Rik|GW182|Tnrc6	trinucleotide repeat containing 6a	protein-coding
MACS_peak_11313	chr6	117866346	117868913	+	3100.00	NA	intron (NM_001166431, intron 2 of 2)	intron (NM_001166431, intron 2 of 2)	317	NM_001166427	98758	Mm.476420	NM_001166427	ENSMUSG00000042079	Hnrnpf	4833420I20Rik|AA407306|Hnrpf	heterogeneous nuclear ribonucleoprotein F	protein-coding
MACS_peak_11839	chr7	38803239	38804966	+	3100.00	NA	intron (NM_011274, intron 1 of 10)	CpG	469	NM_011274	19777	Mm.387220	NM_011274	ENSMUSG00000030421	C80913	NNX3|Rmp|Uri1	expressed sequence C80913	protein-coding
MACS_peak_9328	chr4	108504507	108508783	+	3100.00	NA	promoter-TSS (NM_027453)	promoter-TSS (NM_027453)	-456	NM_027453	70533	Mm.379178	NM_027453	ENSMUSG00000028568	Btf3l4	4632412E09Rik|5730434I03Rik|AI316863|AU022207|AW552446	basic transcription factor 3-like 4	protein-coding
MACS_peak_13478	chr9	44225054	44226887	+	3100.00	NA	exon (NM_201372, exon 1 of 11)	exon (NM_201372, exon 1 of 11)	120	NM_201372	382073	Mm.259573	NM_201372	ENSMUSG00000043923	Ccdc84	D630044F24Rik|Gm1114	coiled-coil domain containing 84	protein-coding
MACS_peak_8709	chr3	108711907	108715567	+	3100.00	NA	intron (NM_025845, intron 1 of 5)	intron (NM_025845, intron 1 of 5)	885	NM_025845	66921	Mm.51049	NM_025845	ENSMUSG00000027881	Prpf38b	1110021E09Rik|AU018955	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B	protein-coding
MACS_peak_10785	chr6	4852454	4854848	+	3100.00	NA	intron (NM_181595, intron 1 of 15)	CpG	331	NM_181595	243725	Mm.332901	NM_181595	ENSMUSG00000032827	Ppp1r9a	2810430P21Rik|4930518N04Rik|5330407E15|A230094E16Rik|BB181831|NRB|mKIAA1222|neurabin-I	protein phosphatase 1, regulatory (inhibitor) subunit 9A	protein-coding
MACS_peak_11225	chr6	97160350	97162570	+	3100.00	NA	intron (NM_022992, intron 1 of 2)	intron (NM_022992, intron 1 of 2)	674	NM_022992	65106	Mm.291014	NM_022992	ENSMUSG00000035199	Arl6ip5	5930404D22Rik|AV001879|Aip-5|Gtrap3-18|addiscin	ADP-ribosylation factor-like 6 interacting protein 5	protein-coding
MACS_peak_6115	chr18	3336106	3338760	+	3100.00	NA	5' UTR (NM_001110859, exon 1 of 10)	5' UTR (NM_001110859, exon 1 of 10)	154	NM_001110851	12916	Mm.5244	NM_001110850	ENSMUSG00000063889	Crem	ICER|ICERI	cAMP responsive element modulator	protein-coding
MACS_peak_8913	chr4	3604587	3606870	+	3100.00	NA	intron (NM_010747, intron 1 of 12)	CpG	460	NM_010747	17096	Mm.317331	XM_003946126	ENSMUSG00000042228	Lyn	AA407514|Hck-2|p53Lyn|p56Lyn	Yamaguchi sarcoma viral (v-yes-1) oncogene homolog	protein-coding
MACS_peak_14035	chr9	121619117	121621111	+	3100.00	NA	intron (NM_026794, intron 2 of 2)	intron (NM_026794, intron 2 of 2)	607	NM_026794	26901	Mm.24848	NM_026794	ENSMUSG00000032526	Deb1	1110020I04Rik|AI463209|Ss18l2	differentially expressed in B16F10 1	protein-coding
MACS_peak_7285	chr2	34608596	34611063	+	3100.00	NA	5' UTR (NM_025709, exon 2 of 27)	5' UTR (NM_025709, exon 2 of 27)	923	NM_025709	66691	Mm.393397	NM_025709	ENSMUSG00000026867	Gapvd1	2010005B09Rik|4432404J10Rik|AW108497|Gapex-5|RAP6|RME-6|mKIAA1521	GTPase activating protein and VPS9 domains 1	protein-coding
MACS_peak_100	chr1	37485792	37488191	+	3100.00	NA	promoter-TSS (NM_026123)	promoter-TSS (NM_026123)	-26	NM_026123	67387	Mm.27404	NM_026123	ENSMUSG00000026111	Unc50	1110002A21Rik|GMH1|UNCL|URP	unc-50 homolog (C. elegans)	protein-coding
MACS_peak_6281	chr18	36941953	36943873	+	3100.00	NA	promoter-TSS (NM_008214)	promoter-TSS (NM_008214)	-21	NM_080636	70791	Mm.282700	NM_080636	ENSMUSG00000019143	Hars2	4631412B19Rik|AI593507|HARSR|HO3|Harsl	histidyl-tRNA synthetase 2, mitochondrial (putative)	protein-coding
